"","id_gbs","trait","dap","y_hat"
"237","PI330734","drymass","NA",9.14072952543792
"238","PI570712","drymass","NA",9.16075337737202
"239","PI267633","drymass","NA",9.17224916057779
"240","PI452807","drymass","NA",9.17360283906959
"241","PI514465","drymass","NA",9.17414015050745
"242","NSL360555","drymass","NA",9.18700136036997
"243","PI570053","drymass","NA",9.20063665341388
"244","PI152730","drymass","NA",9.20769846963651
"245","NSL55731","drymass","NA",9.21945846210103
"246","PI660605","drymass","NA",9.24587237603585
"247","PI454241","drymass","NA",9.24764892818269
"248","PI329429","drymass","NA",9.27410257072954
"249","PI329310","drymass","NA",9.28067063664742
"250","PI585467","drymass","NA",9.30151771775801
"251","PI266061","drymass","NA",9.31730697022239
"252","NSL50449","drymass","NA",9.31772666951139
"253","PI453766","drymass","NA",9.32626009265009
"254","PI282862","drymass","NA",9.33858687192962
"255","PI562963","drymass","NA",9.33885158484971
"256","PI452946","drymass","NA",9.34285331266906
"257","NSL365751","drymass","NA",9.35647086612646
"258","PI586792","drymass","NA",9.36480842626604
"259","PI276800","drymass","NA",9.39490447400845
"260","NSL51963","drymass","NA",9.40283749620023
"261","PI152594","drymass","NA",9.41123141297362
"262","PI570071","drymass","NA",9.44586100868257
"263","PI526101","drymass","NA",9.45082070024327
"264","NSL54591","drymass","NA",9.45187218061537
"265","PI329471","drymass","NA",9.45401649812958
"266","PI453237","drymass","NA",9.45716592889949
"267","NSL54162","drymass","NA",9.48034191965179
"268","PI329662","drymass","NA",9.49808493925482
"269","NSL55744","drymass","NA",9.49837560006277
"270","PI452844","drymass","NA",9.49952136846301
"271","PI276803","drymass","NA",9.50017635048173
"272","PI521020","drymass","NA",9.50141479403532
"273","PI152733","drymass","NA",9.503522743202
"274","NSL55734","drymass","NA",9.50706630685687
"275","PI453354","drymass","NA",9.5094251157372
"276","PI148089","drymass","NA",9.51480468317406
"277","NSL55704","drymass","NA",9.52749807950161
"278","PI454468","drymass","NA",9.5310569537355
"279","PI453183","drymass","NA",9.55797356271002
"280","PI510757","drymass","NA",9.56519941822774
"281","PI453110","drymass","NA",9.57371981335579
"282","PI152728","drymass","NA",9.57538751290681
"283","PI276853B","drymass","NA",9.58772691039085
"284","PI570106","drymass","NA",9.61251135374722
"285","PI152593","drymass","NA",9.62753966084643
"286","PI318910","drymass","NA",9.65572930633412
"287","NSL67921","drymass","NA",9.67207161618755
"288","PI563021","drymass","NA",9.68319200462816
"289","PI453129","drymass","NA",9.68362073827311
"290","PI514253","drymass","NA",9.68685693961694
"291","PI647743","drymass","NA",9.7048379670912
"292","PI329617","drymass","NA",9.72776325755639
"293","PI454848","drymass","NA",9.7531250094986
"294","NSL55694","drymass","NA",9.75663818146593
"295","PI329543","drymass","NA",9.76546867926513
"296","PI651131","drymass","NA",9.76558060809959
"297","PI457183A","drymass","NA",9.77216409781681
"298","NSL54165","drymass","NA",9.78462145420591
"299","PI454584","drymass","NA",9.78610032445603
"300","PI452942","drymass","NA",9.78920368144116
"301","PI525641","drymass","NA",9.79794660743686
"302","PI276789","drymass","NA",9.80437533546734
"303","PI585948","drymass","NA",9.81238773589582
"304","PI273465","drymass","NA",9.81419385355335
"305","PI454687","drymass","NA",9.81873479298032
"306","PI651168","drymass","NA",9.82202480698366
